---nodes---
inglis|6.06777,-5.07474,-3.2445
births|-10.9241,-0.751486,-9.61686
advertisements|-10.9815,-0.483681,-10.502
cats|-10.4129,-0.736076,-7.98469
hotels|-9.75459,-0.518253,-8.44759
horses|-10.1109,-1.82955,-7.63884
hospitals|-9.67374,-1.67589,-9.13707
homes|-11.0001,0.0652,-7.98576
wireless|-10.0558,0.516472,-10.7425
houses|-9.55136,-1.09828,-7.13567
mater|-10.0605,1.70057,-10.7704
rome|-8.77093,-2.50373,-4.80142
afghanistan|17.495,-8.42781,-9.97481
afghan|16.8047,-8.4762,-9.14159
cherbourg|-8.7155,-1.26775,-2.96855
disappearances|2.16984,18.3454,-15.9849
michel|2.38894,19.068,-16.7027
cooktown|-12.3247,-1.39652,-2.83897
swan|-12.5343,-2.49887,-4.18731
brisbane|-10.4622,-1.83446,-4.76367
floods|-9.7934,-1.30022,-3.70179
wellington|-10.3997,0.510152,-6.00023
mt morgan|-10.9623,0.484752,-5.2776
rivers|-9.53906,-0.0407117,0.00149841
gregory downs|-14.9181,-5.30289,4.43272
zinc|-12.6307,0.463759,-4.81998
aust|-11.0329,-0.384039,-3.45704
bennett|-10.4514,-1.20083,-4.01281
rugby league|-10.049,-3.53351,-4.93818
tram|-9.37543,-2.28411,-5.95139
newspapers|-9.15163,-1.94472,-5.63022
fellowship|-4.18218,-21.7302,4.58763
australian writers|-4.05275,-22.8165,4.63332
martha|-11.0009,-17.8332,-14.0289
larry|-11.0752,-18.9067,-13.8647
chamberlain|-9.2119,0.329713,-3.51625
america|-9.12182,-1.51456,-2.2077
australian|-10.0058,-2.79607,-3.12239
o'sullivan|-7.99748,-2.96509,-7.59602
brewery|14.0286,-8.07761,-6.441
breweries|13.7926,-7.31746,-5.78288
trucks|-8.76345,-3.31714,-4.28569
pictures|-10.9549,-9.18993,-3.5547
sydney morning herald|-10.801,-6.05149,-4.09482
newport|21.6108,-0.617852,8.62371
palm beach|22.6477,-0.851219,8.39766
dunn|-10.8489,-0.790003,-5.40187
england|-9.99725,-1.75623,-4.32435
ceylon|1.16772,-5.32564,21.6044
croydon|-9.35798,-6.60689,-9.18507
stevens|-8.31287,-4.84698,-10.958
william dobell|13.3899,17.2675,-2.58603
joshua|14.3934,17.5558,-2.70189
batt|-8.16672,-0.767312,-3.2239
deaths|-9.87308,-0.720687,-9.20363
birds|-10.1009,-0.806062,-10.4035
friends|-10.3987,-1.16937,-8.80561
monto|-15.1468,0.94419,-1.16037
mundubbera|-15.4617,0.261072,0.122272
watson|-9.49167,-2.60746,-7.19964
jarvis|0.674863,1.814,15.3513
connors|1.00167,2.31561,14.2479
dairy|-9.79891,-3.98399,-7.16298
bacon|-9.77738,-6.82768,-5.25726
gordon|-13.8525,1.58675,-5.67763
george|-9.43766,-3.25515,-6.09194
chicago|-8.64146,-5.64605,-3.6661
duckworth|14.9502,5.10927,15.3664
plunkett|15.7324,5.75873,15.6278
gracie fields|4.23809,20.2337,17.5919
gracie|3.51557,19.5979,17.9807
mason|-13.3573,2.79476,-7.71326
petrol|-9.63534,-1.68251,-8.14823
harris|-11.6084,-1.29431,-6.07462
sandgate|21.679,4.52403,0.643066
jehovah|21.0254,3.78327,1.11771
mercury|17.6062,0.7629,-14.0036
planets|17.9087,-0.349716,-14.5045
kelly|-9.98955,-3.73052,-6.29765
manly|-9.99435,-2.95146,-5.16068
manuscripts|-3.24519,7.86543,17.5177
botanic gardens|-4.48991,7.81511,17.4463
italy|-5.87224,-0.105858,-2.00358
jews|-8.55137,-2.14101,-1.61363
thomas|-10.0215,0.998405,-5.25209
france|-7.64071,-2.09087,-2.80157
antarctic|11.3013,5.89486,-7.10772
byrd|12.4331,6.74286,-8.04031
indus|-9.95254,-0.575951,-3.73427
onions|-4.53009,10.4065,-3.26489
lucerne|-3.48035,10.041,-3.85829
tara|-11.0543,0.0724597,-5.97199
civil defence|10.8022,-4.26609,-16.587
home security|10.2926,-4.73194,-15.8092
tully|-9.21107,-3.33943,-2.93202
hobart|-13.4683,-2.43036,-2.00833
cullen|-11.0074,2.34921,-7.32849
hercules|-6.09318,-15.9916,15.3267
mount isa|-6.13598,-16.5817,16.3238
wattle|-6.22583,-16.0075,17.3201
victoria|-12.2429,-1.36194,-3.65544
mt isa|-11.697,0.261456,-4.76228
grose|9.43692,17.5522,-15.8798
elkin|10.2204,17.0146,-15.2567
australia|-10.4814,-2.78801,-3.60138
hitler|-8.54492,-1.63261,-5.75839
anzac day|-9.78527,-3.21182,-1.57372
weeks|-10.7797,0.664125,-3.82637
guinea|-11.0012,2.89606,-5.42365
london.|-9.49246,3.47329,-3.19726
emperor|-12.1999,1.75419,-5.48216
flying doctor|-15.1252,-7.43763,7.02301
dragon|-15.707,-7.73136,8.90358
peters|-11.7106,4.04206,-5.94971
hindu|4.5103,13.6399,20.1271
women|-9.85066,-2.16135,-4.55198
keenan|0.709925,6.77607,-21.6732
rolfe|-0.273089,7.0684,-21.9007
hardy|-10.3991,-5.08711,-2.56436
rochester|14.678,16.4209,10.0152
midge|14.6747,16.2811,11.0158
hoare|13.9137,15.5771,10.5607
morris|-11.2352,-3.19518,-5.09219
evans|-10.215,-3.84827,-7.89759
norton|16.4568,10.825,12.7381
fairfield|15.6281,10.1933,12.7574
anzac|-9.86926,-5.40335,1.17156
bliss|0.000658127,-3.07047,10.7911
laidlaw|1.23447,-3.49058,10.9037
qantas|-10.6141,-1.87407,-1.71248
miners|-9.01894,-1.11396,-6.38428
causes|-9.4563,5.60055,-3.90642
supreme court|-10.3967,7.87682,-4.03524
lamb|-8.76466,-6.07121,0.0476052
swedish|-9.93492,-21.312,8.01125
norwegian|-9.81718,-20.3562,7.48276
movies|17.6568,-11.5143,8.68195
booker|17.6638,-10.5089,8.30426
brooke|-22.5495,-1.73936,-10.362
northern ireland|-23.0259,-0.78273,-9.73495
robinson|-10.4462,-3.13841,-5.61802
marshall|-9.34797,-0.0184964,-5.21498
normanby|-11.7442,2.72264,-6.57156
spring hill|-14.7002,9.85393,-8.22235
cuthbert|-13.3009,9.80574,-7.67339
sunda|-12.3034,-3.88016,-2.09981
murray|-10.1534,-2.46915,-5.43859
howe|-8.27899,-3.28776,-2.26942
gallipoli|-8.59695,-4.48938,2.69099
stradbroke|-3.60007,-8.22812,-18.028
eagle farm|-4.75106,-8.20936,-17.8323
miles|-9.71464,-1.75282,-4.78442
winton|-12.0241,-2.04095,-0.927343
gone with the wind|2.95598,5.40569,21.5424
night train|3.95211,5.21744,21.7237
lytton|4.65951,4.1443,-19.9617
frey|5.36992,3.46212,-20.3129
beechworth|-15.5133,9.79997,-6.47579
bismarck|-12.7483,10.476,-8.28391
sandy|-15.7922,10.8452,-6.79457
boulder|-15.3441,11.6724,-7.63653
miner|-16.7845,9.802,-8.18782
shenton|-14.3181,10.9211,-6.91392
letters|-12.9416,-2.03512,-2.55719
longreach|-12.7293,-1.86335,-1.57122
goldfields|-16.2986,11.0504,-8.60559
mt. morgan|-16.0697,9.80084,-7.47998
phoenix|-13.7636,11.3652,-7.99656
sunshine|-14.0006,10.9521,-9.31862
wentworth|-13.539,9.80141,-9.25531
tong|-16.0207,9.80324,-9.15801
alluvial|-14.4378,9.79952,-7.04794
trams|-9.14628,-2.73069,-5.56629
carters|4.7689,11.3975,1.52737
tobin|4.69219,10.4278,1.9043
waltzing matilda|11.258,-2.44525,-6.56729
newsreel|12.1057,-2.24413,-7.25348
chillagoe|8.9158,-6.48661,19.3393
amalgamation|7.9749,-6.21983,18.9796
pandora|-10.4275,-19.1188,-2.52968
britannia|-10.3039,-19.5569,-3.51697
clarence river|-9.79996,-12.0278,-20.1439
mcphee|-9.73037,-11.0904,-20.6266
scott|-10.7237,-2.99983,-6.60869
campbell|-11.3134,-2.76063,-5.89236
marriages|-11.8747,-0.68833,-11.1068
collins|-10.4695,-3.92239,-5.56107
carmody|20.1144,17.3451,5.13582
whiting|20.0307,18.1064,5.84474
mitchell|-8.72038,-0.719466,-5.4013
allen|-9.2769,-0.340505,-6.11505
larsen|11.783,-7.53242,1.20637
rodney|11.7356,-6.49416,1.08258
mcdonald|-11.0389,-3.54523,-6.1196
partridge|17.4581,4.83199,-0.121091
clift|17.5182,5.67161,0.526926
pride and prejudice|3.57123,5.66211,22.7892
queensland national bank|20.8864,10.319,2.31819
brierley|19.8524,10.2304,2.39802
new moon|13.7803,-1.17909,-15.5534
mars|14.7249,-0.519794,-15.0841
caravans|-12.4351,0.105121,-11.6856
meetings|-10.9832,-1.73376,-11.0197
edmonton|17.655,3.78586,-14.4279
darra|17.6525,2.93235,-13.3864
poultry|-11.9836,-2.10881,-11.0011
garnish|15.8194,6.19526,7.23791
excelsior|16.4921,5.89438,6.47546
corrie|-14.0762,20.4312,9.40808
dorset|-12.9977,21.1531,9.12962
lavender|7.77357,-6.57043,-1.53085
